"","V1","V2","V3","filter"
"169",-0.0922036,0.034832,-0.280663,-0.3380346
"170",-0.0525107,0.00167043,-0.287049,-0.33788927
"171",-0.0742833,-0.00452294,-0.258665,-0.33747124
"172",-0.0916039,0.0303036,-0.274494,-0.3357943
"173",-0.0694699,0.0472795,-0.313584,-0.3357744
"174",-0.091365,0.0305813,-0.274618,-0.3354017
"175",-0.0570908,0.0301679,-0.307839,-0.3347619
"176",-0.0933139,0.044121,-0.285204,-0.3343969
"177",-0.0517912,0.0138271,-0.296303,-0.3342671
"178",-0.0553423,-0.00480637,-0.27408,-0.33422867
"179",-0.0736571,-0.00245375,-0.257575,-0.33368585
"180",-0.0793362,0.006108,-0.25972,-0.3329482
"181",-0.090855,0.0319423,-0.274021,-0.3329337
"182",-0.0661973,-0.00463067,-0.261798,-0.33262597
"183",-0.0884058,0.0248858,-0.269066,-0.332586
"184",-0.0868456,0.0642913,-0.309455,-0.3320093
"185",-0.0662503,0.0452184,-0.310686,-0.3317179
"186",-0.0900108,0.0327389,-0.274396,-0.3316679
"187",-0.0893758,0.0641472,-0.30643,-0.3316586
"188",-0.0528106,0.0207062,-0.299089,-0.3311934
"189",-0.0594239,-0.00476401,-0.26696,-0.33114791
"190",-0.0542455,-0.00285822,-0.273858,-0.33096172
"191",-0.0528279,0.0213273,-0.299396,-0.3308966
"192",-0.0906494,0.0630671,-0.302487,-0.3300693
"193",-0.0879089,0.0347616,-0.276802,-0.3299493
"194",-0.0823046,0.0638808,-0.311514,-0.3299378
"195",-0.0517842,0.0233774,-0.300796,-0.3292028
"196",-0.0532134,0.00198441,-0.277972,-0.32920099
"197",-0.0653202,-0.00261326,-0.260955,-0.32888846
"198",-0.0902893,0.0431314,-0.281454,-0.3286119
"199",-0.0552604,0.0291806,-0.302406,-0.3284858
"200",-0.092182,0.0618873,-0.298174,-0.3284687
"201",-0.052109,0.0254477,-0.301775,-0.3284363
"202",-0.0853514,0.0297876,-0.272503,-0.3280668
"203",-0.0851209,0.030055,-0.272678,-0.3277439
"204",-0.0583727,-0.00279527,-0.26642,-0.32758797
"205",-0.062235,0.0436623,-0.308594,-0.3271667
"206",-0.0704543,0.00489373,-0.261416,-0.32697657
"207",-0.0937062,0.0609253,-0.294029,-0.3268099
"208",-0.0778663,0.0638333,-0.312731,-0.326764
"209",-0.0802601,0.0233354,-0.268224,-0.3251487
"210",-0.0841877,0.0314082,-0.272217,-0.3249965
"211",-0.0567105,0.00274132,-0.270592,-0.32456118
"212",-0.0886578,0.0762035,-0.311885,-0.3243393
"213",-0.0918309,0.0766374,-0.308914,-0.3241075
"214",-0.0902572,0.0727972,-0.30664,-0.3241
"215",-0.0628703,0.00377816,-0.265004,-0.32409614
"216",-0.0513022,0.0150692,-0.287821,-0.324054
"217",-0.0834359,0.0321727,-0.272784,-0.3240472
"218",-0.0869901,0.0725437,-0.309572,-0.3240184
"219",-0.089292,0.0793303,-0.313699,-0.3236607
"220",-0.0924576,0.0798813,-0.310839,-0.3234153
"221",-0.0822428,0.0343268,-0.275366,-0.323282
"222",-0.093078,0.0597211,-0.289667,-0.3230239
"223",-0.0841731,0.075573,-0.313927,-0.3225271
"224",-0.073536,0.0641504,-0.313109,-0.3224946
"225",-0.0868666,0.0425625,-0.278172,-0.3224761
"226",-0.0890325,0.0816365,-0.314692,-0.322088
"227",-0.082482,0.0719998,-0.311493,-0.3219752
"228",-0.059195,0.042028,-0.304803,-0.32197
"229",-0.0547745,0.0294186,-0.296561,-0.3219169
"230",-0.0921576,0.0823027,-0.312054,-0.3219089
"231",-0.0848578,0.0786879,-0.315709,-0.3218789
"232",-0.0777526,0.028507,-0.272603,-0.3218486
"233",-0.0936444,0.0769166,-0.305017,-0.3217448
"234",-0.0775353,0.0288218,-0.27284,-0.3215535
"235",-0.0915857,0.0726625,-0.302566,-0.3214892
"236",-0.0521303,0.0221951,-0.291484,-0.3214192
"237",-0.0521239,0.0227973,-0.291825,-0.3211516
"238",-0.0943531,0.0804283,-0.30714,-0.3210648
"239",-0.0849049,0.0810751,-0.316431,-0.3202608
"240",-0.0943298,0.0830478,-0.308542,-0.319824
"241",-0.0513756,0.026159,-0.294474,-0.3196906
"242",-0.0918225,0.0859621,-0.313652,-0.3195124
"243",-0.0885406,0.0851915,-0.316048,-0.3193971
"244",-0.0723084,0.0217811,-0.268769,-0.3192963
"245",-0.0509925,0.0249472,-0.293244,-0.3192893
"246",-0.0793914,0.0752968,-0.315098,-0.3191926
"247",-0.0930919,0.0725129,-0.29832,-0.318899
"248",-0.0781829,0.0719965,-0.312622,-0.3188084
"249",-0.0709897,0.0635401,-0.311319,-0.3187686
"250",-0.0800439,0.0782452,-0.316799,-0.3185977
"251",-0.0763147,0.0305051,-0.272767,-0.3185766
"252",-0.075758,0.0336562,-0.276185,-0.3182868
"253",-0.0951701,0.0771392,-0.300039,-0.3180699
"254",-0.0943201,0.0869298,-0.310559,-0.3179493
"255",-0.0756789,0.031385,-0.273548,-0.3178419
"256",-0.0535169,0.0164364,-0.280601,-0.3176815
"257",-0.09094,0.0583137,-0.284943,-0.3175693
"258",-0.0845141,0.084594,-0.317649,-0.3175691
"259",-0.0704521,0.0267373,-0.273779,-0.3174938
"260",-0.0702656,0.0270316,-0.274072,-0.317306
"261",-0.096065,0.080919,-0.301985,-0.317131
"262",-0.057617,0.0409287,-0.300359,-0.3170473
"263",-0.0802499,0.0806185,-0.317391,-0.3170224
"264",-0.0559018,0.0298904,-0.290995,-0.3170064
"265",-0.0947579,0.0718708,-0.293843,-0.3167301
"266",-0.0819192,0.0421774,-0.276907,-0.3166488
"267",-0.0962755,0.0839601,-0.303343,-0.3156584
"268",-0.0645974,0.0198301,-0.270824,-0.3155913
"269",-0.0537887,0.0238017,-0.285424,-0.315411
"270",-0.0537943,0.023447,-0.285033,-0.3153803
"271",-0.0686177,0.0613057,-0.307984,-0.315296
"272",-0.0583585,0.0179409,-0.274706,-0.3151236
"273",-0.0905081,0.0921537,-0.316641,-0.3149954
"274",-0.0873844,0.0911855,-0.318752,-0.3149509
"275",-0.0690967,0.028638,-0.274295,-0.3147537
"276",-0.07407,0.0723985,-0.312973,-0.3146445
"277",-0.0745023,0.0754414,-0.31533,-0.3143909
"278",-0.0633763,0.0249679,-0.275967,-0.3143754
"279",-0.0632267,0.0253004,-0.276302,-0.3142283
"280",-0.0798904,0.0841794,-0.31851,-0.314221
"281",-0.0685962,0.029639,-0.275243,-0.3142002
"282",-0.0528544,0.0265365,-0.287785,-0.3141029
"283",-0.052669,0.0253172,-0.286597,-0.3139488
"284",-0.0586655,0.030593,-0.285725,-0.3137975
"285",-0.0690107,0.0332943,-0.278006,-0.3137224
"286",-0.0748396,0.0781205,-0.316952,-0.3136711
"287",-0.0577878,0.0240023,-0.2797,-0.3134855
"288",-0.0930574,0.0933735,-0.313773,-0.3134569
"289",-0.0577058,0.0243475,-0.280065,-0.3134233
"290",-0.0836776,0.0905148,-0.320106,-0.3132688
"291",-0.0964084,0.077311,-0.293981,-0.3130784
"292",-0.0629701,0.0317097,-0.281532,-0.3127924
"293",-0.0963192,0.0891047,-0.305574,-0.3127885
"294",-0.088242,0.0573361,-0.281666,-0.3125719
"295",-0.0575116,0.0403859,-0.295267,-0.3123927
"296",-0.0750894,0.0802794,-0.317566,-0.312376
"297",-0.0940374,0.0703856,-0.288643,-0.3122948
"298",-0.0620478,0.0270349,-0.276711,-0.3117239
"299",-0.0758645,0.0418936,-0.277503,-0.3114739
"300",-0.0652944,0.0595333,-0.305669,-0.3114301
"301",-0.0976118,0.0817508,-0.295468,-0.311329
"302",-0.0565058,0.0260022,-0.280793,-0.3112966
"303",-0.0617753,0.0282395,-0.277749,-0.3112848
"304",-0.0564486,0.0272259,-0.281921,-0.3111437
"305",-0.0716587,0.0722818,-0.310759,-0.3101359
"306",-0.0793419,0.0901689,-0.320889,-0.310062
"307",-0.070655,0.075473,-0.314136,-0.309318
"308",0.0160625,0.220133,-0.545504,-0.3093085
"309",-0.0746176,0.0839525,-0.318636,-0.3093011
"310",-0.0587044,0.0401235,-0.290529,-0.3091099
"311",-0.0954833,0.0961182,-0.309455,-0.3088201
"312",-0.0708198,0.0782345,-0.315914,-0.3084993
"313",-0.085635,0.0568898,-0.279265,-0.3080102
"314",-0.09784,0.0861379,-0.296143,-0.3078451
"315",-0.0700432,0.0413946,-0.279096,-0.3077446
"316",-0.0711813,0.0803894,-0.316679,-0.3074709
"317",-0.0612379,0.0401016,-0.2861,-0.3072363
"318",-0.0628901,0.0579933,-0.302193,-0.3070898
"319",-0.0650805,0.0405371,-0.282383,-0.3069264
"320",-0.0957578,0.0769333,-0.28767,-0.3064945
"321",-0.085817,0.102958,-0.323302,-0.306161
"322",-0.0887606,0.103857,-0.32117,-0.3060736
"323",-0.0690346,0.0714069,-0.308008,-0.3056357
"324",-0.0915783,0.0688886,-0.282928,-0.3056177
"325",-0.0743664,0.0901664,-0.321086,-0.305286
"326",-0.0822221,0.102123,-0.324694,-0.3047931
"327",-0.091043,0.104823,-0.318285,-0.304505
"328",-0.0705181,0.0841035,-0.317808,-0.3042226
"329",-0.0678319,0.0753911,-0.31152,-0.3039608
"330",0.0219085,0.220572,-0.54641,-0.3039295
"331",-0.0977686,0.0927406,-0.298757,-0.303785
"332",0.0157763,0.222606,-0.542132,-0.3037497
"333",-0.0679912,0.0785378,-0.313703,-0.3031564
"334",-0.0814474,0.0565506,-0.278188,-0.3030848
"335",-0.0615763,0.0568801,-0.298047,-0.3027432
"336",-0.0970135,0.0829137,-0.288544,-0.3026438
"337",-0.0684532,0.0808493,-0.314757,-0.3023609
"338",-0.0781159,0.101844,-0.325353,-0.3016249
"339",-0.0978585,0.100542,-0.303768,-0.3010845
"340",-0.0654548,0.0704645,-0.305977,-0.3009673
"341",0.0247598,0.220728,-0.546122,-0.3006342
"342",-0.0934583,0.107275,-0.314025,-0.3002083
"343",-0.0705961,0.0906437,-0.32023,-0.3001824
"344",-0.0887175,0.0681632,-0.279198,-0.2997523
"345",-0.0677801,0.0847165,-0.316102,-0.2991656
"346",0.021493,0.222246,-0.54258,-0.298841
"347",-0.09324,0.0756967,-0.281188,-0.2987313
"348",0.0152783,0.232977,-0.546794,-0.2985387
"349",-0.0613831,0.0561929,-0.293224,-0.2984142
"350",-0.097186,0.0881253,-0.288872,-0.2979327
"351",0.0117211,0.234902,-0.544351,-0.2977279
"352",-0.0759507,0.0564829,-0.278173,-0.2976408
"353",0.027611,0.220884,-0.545835,-0.29734
"354",-0.0646311,0.0752516,-0.307889,-0.2972685
"355",0.0143169,0.227344,-0.538502,-0.2968411
"356",-0.0735025,0.102127,-0.325268,-0.2966435
"357",-0.0627471,0.0689017,-0.302157,-0.2960024
"358",-0.0644807,0.0786979,-0.31009,-0.2958728
"359",-0.0621856,0.0556688,-0.289249,-0.2957658
"360",0.0242827,0.222399,-0.542299,-0.2956173
"361",-0.085498,0.0677354,-0.277629,-0.2953916
"362",-0.0648294,0.0813482,-0.311393,-0.2948742
"363",-0.0639857,0.0552859,-0.286078,-0.2947778
"364",-0.0680264,0.0915819,-0.318314,-0.2947585
"365",-0.0669195,0.0553776,-0.283007,-0.2945489
"366",-0.0709128,0.0560852,-0.279593,-0.2944206
"367",-0.0975439,0.0961702,-0.292288,-0.2936617
"368",-0.0960696,0.111206,-0.308412,-0.2932756
"369",-0.0835451,0.118623,-0.32801,-0.2929321
"370",-0.0941506,0.0821524,-0.280586,-0.2925842
"371",0.0212206,0.233743,-0.547434,-0.2924704
"372",-0.0901062,0.0747427,-0.277099,-0.2924625
"373",-0.0861365,0.119537,-0.325848,-0.2924475
"374",0.0270724,0.222551,-0.542017,-0.2923936
"375",-0.0981172,0.104498,-0.298026,-0.2916452
"376",-0.0701563,0.10274,-0.324087,-0.2915033
"377",-0.0799131,0.117968,-0.329315,-0.2912601
"378",-0.0611912,0.0676113,-0.297322,-0.2909019
"379",-0.0642271,0.0862795,-0.312778,-0.2907256
"380",-0.0811748,0.0674796,-0.276777,-0.2904722
"381",0.0105518,0.239497,-0.5401,-0.2900512
"382",0.0204425,0.227653,-0.537848,-0.2897525
"383",-0.0611063,0.0749791,-0.303444,-0.2895712
"384",0.0331722,0.22107,-0.543778,-0.2895358
"385",0.0241425,0.233903,-0.547139,-0.2890935
"386",-0.0870371,0.120746,-0.322527,-0.2888181
"387",0.0116827,0.234331,-0.534597,-0.2885833
"388",-0.0761266,0.117803,-0.32979,-0.2881136
"389",0.00353193,0.240019,-0.531315,-0.28776407
"390",-0.0863546,0.0740705,-0.275399,-0.2876831
"391",-0.0603253,0.0787558,-0.305213,-0.2867825
"392",0.0235064,0.22782,-0.537539,-0.2862126
"393",-0.0680794,0.103682,-0.321807,-0.2862044
"394",-0.0941863,0.0891819,-0.280922,-0.2859264
"395",0.0270643,0.234062,-0.546845,-0.2857187
"396",-0.0644451,0.0939592,-0.315125,-0.2856109
"397",-0.0907462,0.0810301,-0.275852,-0.2855681
"398",-0.0607811,0.0667651,-0.291454,-0.28547
"399",-0.075801,0.0674587,-0.276608,-0.2849503
"400",-0.0891744,0.122645,-0.318253,-0.2847824
"401",-0.096504,0.11472,-0.302933,-0.284717
"402",0.0325125,0.223522,-0.540444,-0.2844095
"403",-0.0602395,0.0826216,-0.306517,-0.2841349
"404",0.00848461,0.24411,-0.536585,-0.28399039
"405",-0.0721842,0.11813,-0.329427,-0.2834812
"406",-0.0590217,0.0737868,-0.29754,-0.2827749
"407",5.69e-05,0.247142,-0.529877,-0.2826781
"408",0.0265703,0.227987,-0.53723,-0.2826727
"409",-0.0815929,0.0735233,-0.274479,-0.2825486
"410",0.00818141,0.239238,-0.529209,-0.28178959
"411",-0.0708987,0.0672445,-0.277879,-0.2815332
"412",-0.0951039,0.0994008,-0.285828,-0.2815311
"413",-0.0614391,0.066683,-0.286661,-0.2814171
"414",-0.0962248,0.107943,-0.292195,-0.2804768
"415",-0.0925702,0.125225,-0.313036,-0.2803812
"416",-0.086908,0.0795232,-0.272905,-0.2802898
"417",-0.0664649,0.066844,-0.280595,-0.2802159
"418",-0.0633123,0.0666589,-0.28352,-0.2801734
"419",-0.0818141,0.135645,-0.333566,-0.2797351
"420",0.00551749,0.248747,-0.533809,-0.27954451
"421",-0.0842764,0.136557,-0.331324,-0.2790434
"422",-0.069622,0.119,-0.327943,-0.278565
"423",-0.0594972,0.0891908,-0.308051,-0.2783574
"424",0.0328075,0.233934,-0.545026,-0.2782845
"425",-0.0781793,0.135169,-0.334745,-0.2777553
"426",0.00059456,0.245662,-0.523828,-0.27757144
"427",-0.0905272,0.0887099,-0.27554,-0.2773573
"428",-0.0649519,0.105957,-0.318281,-0.2772759
"429",-0.0758082,0.0731758,-0.274332,-0.2769644
"430",0.0187542,0.23675,-0.532176,-0.2766718
"431",0.0040009,0.242277,-0.522431,-0.2761531
"432",-0.0577488,0.079971,-0.298351,-0.2761288
"433",0.0327004,0.228348,-0.536648,-0.2755996
"434",0.0026116,0.253701,-0.531881,-0.2755684
"435",-0.0818032,0.0787027,-0.271829,-0.2749295
"436",-0.0746057,0.135126,-0.335039,-0.2745187
"437",-0.0582847,0.0736838,-0.289888,-0.2744889
"438",-0.0947332,0.117829,-0.297557,-0.2744612
"439",-0.0846153,0.138029,-0.327538,-0.2741243
"440",-0.0690824,0.120456,-0.324996,-0.2736224
"441",-0.0929706,0.127968,-0.308046,-0.2730486
"442",-0.0704349,0.0732311,-0.275617,-0.2728208
"443",-0.0598933,0.097978,-0.310658,-0.2725733
"444",0.0224301,0.236951,-0.531806,-0.2724249
"445",-0.0574295,0.0847459,-0.299714,-0.2723976
"446",-0.0002334,0.258974,-0.530797,-0.2720564
"447",-0.0916821,0.101265,-0.281171,-0.2715881
"448",-0.0865025,0.0870861,-0.27201,-0.2714264
"449",0.013404,0.261064,-0.545732,-0.271264
"450",-0.0867763,0.139615,-0.323355,-0.2705163
"451",-0.0654701,0.0734791,-0.278359,-0.27035
"452",-0.0930221,0.110298,-0.287623,-0.2703471
"453",0.0355788,0.236203,-0.541945,-0.2701632
"454",-0.0592001,0.0736393,-0.284538,-0.2700988
"455",-0.0710869,0.135515,-0.334445,-0.2700169
"456",-0.00290214,0.260238,-0.527003,-0.26966714
"457",-0.0617282,0.0735832,-0.281334,-0.269479
"458",-0.07564,0.0781094,-0.271639,-0.2691696
"459",0.00886735,0.264783,-0.542675,-0.26902465
"460",0.0170656,0.240865,-0.526548,-0.2686174
"461",-0.090762,0.141314,-0.318773,-0.268221
"462",0.026106,0.237151,-0.531435,-0.268178
"463",-0.080549,0.154009,-0.340025,-0.266565
"464",-0.0568088,0.0799695,-0.289538,-0.2663773
"465",-0.0572833,0.092723,-0.301562,-0.2661223
"466",-0.0831177,0.154893,-0.337678,-0.2659027
"467",-0.0812879,0.0861309,-0.270714,-0.265871
"468",-0.0667758,0.122226,-0.321197,-0.2657468
"469",0.0153779,0.240031,-0.520998,-0.2655891
"470",-0.0690395,0.136525,-0.332642,-0.2651565
"471",-0.0918385,0.12018,-0.293167,-0.2648255
"472",0.00204314,0.248025,-0.514781,-0.26471286
"473",-0.0608143,0.109578,-0.313474,-0.2647103
"474",-0.0697375,0.0782153,-0.273057,-0.2645792
"475",-0.00253003,0.258147,-0.52018,-0.26456303
"476",0.0194164,0.261651,-0.545393,-0.2643256
"477",-0.076951,0.153708,-0.341037,-0.26428
"478",-0.0910333,0.130843,-0.303563,-0.2637533
"479",0.0216268,0.241114,-0.526088,-0.2633472
"480",-0.0872235,0.101209,-0.277097,-0.2631115
"481",0.0337363,0.235534,-0.532374,-0.2631037
"482",-0.0913931,0.14349,-0.314182,-0.2620851
"483",-0.0641551,0.0787595,-0.276096,-0.2614916
"484",0.0353772,0.24085,-0.537596,-0.2613688
"485",-0.0884751,0.111521,-0.284345,-0.2612991
"486",-0.0577799,0.101946,-0.305266,-0.2610999
"487",0.0224158,0.261814,-0.545091,-0.2608612
"488",-0.0734857,0.153799,-0.341139,-0.2608257
"489",-0.0837254,0.15653,-0.333482,-0.2606774
"490",-0.0570023,0.0794229,-0.282895,-0.2604744
